date,pendek_dewasa
2020-08-01,321
2020-09-01,212
2020-10-01,296
2020-11-01,220
2020-12-01,270
2021-01-01,235
2021-02-01,339
2021-03-01,238
2021-04-01,301
2021-05-01,247
2021-06-01,366
2021-07-01,222
2021-08-01,385
2021-09-01,264
2021-10-01,352
2021-11-01,249
2021-12-01,307
2022-01-01,221
2022-02-01,273
2022-03-01,179
2022-04-01,227
2022-05-01,166
2022-06-01,274
2022-07-01,201
2022-08-01,295
2022-09-01,156
2022-10-01,223
2022-11-01,169
2022-12-01,247
2023-01-01,148
2023-02-01,268
2023-03-01,127
2023-04-01,222
2023-05-01,114
2023-06-01,206
2023-07-01,116
2023-08-01,275
2023-09-01,118
2023-10-01,155
2023-11-01,121
2023-12-01,166
2024-01-01,93
2024-02-01,152
2024-03-01,72
2024-04-01,112
2024-05-01,86
2024-06-01,121
2024-07-01,72
2024-08-01,163
2024-09-01,95
2024-10-01,122
2024-11-01,94
2024-12-01,110
2025-01-01,114
2025-02-01,171
2025-03-01,52
2025-04-01,125
2025-05-01,87
2025-06-01,107
2025-07-01,49
2025-08-01,119