date,tshirt_anak
2020-08-01,50
2020-09-01,36
2020-10-01,45
2020-11-01,30
2020-12-01,38
2021-01-01,26
2021-02-01,32
2021-03-01,20
2021-04-01,26
2021-05-01,20
2021-06-01,31
2021-07-01,29
2021-08-01,45
2021-09-01,28
2021-10-01,32
2021-11-01,26
2021-12-01,31
2022-01-01,24
2022-02-01,29
2022-03-01,17
2022-04-01,24
2022-05-01,19
2022-06-01,27
2022-07-01,23
2022-08-01,47
2022-09-01,29
2022-10-01,31
2022-11-01,25
2022-12-01,29
2023-01-01,25
2023-02-01,54
2023-03-01,34
2023-04-01,42
2023-05-01,29
2023-06-01,44
2023-07-01,27
2023-08-01,42
2023-09-01,33
2023-10-01,37
2023-11-01,25
2023-12-01,28
2024-01-01,17
2024-02-01,24
2024-03-01,14
2024-04-01,20
2024-05-01,18
2024-06-01,21
2024-07-01,19
2024-08-01,27
2024-09-01,19
2024-10-01,23
2024-11-01,17
2024-12-01,21
2025-01-01,15
2025-02-01,22
2025-03-01,12
2025-04-01,25
2025-05-01,12
2025-06-01,20
2025-07-01,15
2025-08-01,28